Month,Price
Dec 1991,800
Jan 1992,812
Feb 1992,779
Mar 1992,766
Apr 1992,788
May 1992,788
Jun 1992,828
Jul 1992,830
Aug 1992,796.25
Sep 1992,758.75
Oct 1992,799
Nov 1992,816.25
Dec 1992,828.33
Jan 1993,846.25
Feb 1993,852.5
Mar 1993,860
Apr 1993,870
May 1993,1051.25
Jun 1993,1026.25
Jul 1993,1000
Aug 1993,1061
Sep 1993,1501
Oct 1993,1423.75
Nov 1993,1303.75
Dec 1993,1310
Jan 1994,1196.25
Feb 1994,1170
Mar 1994,1180
Apr 1994,988
May 1994,908
Jun 1994,919
Jul 1994,920
Aug 1994,903
Sep 1994,825
Oct 1994,800
Nov 1994,815
Dec 1994,833.33
Jan 1995,878
Feb 1995,885
Mar 1995,855
Apr 1995,823
May 1995,822
Jun 1995,841
Jul 1995,876
Aug 1995,885
Sep 1995,970
Oct 1995,1055
Nov 1995,1016
Dec 1995,1013
Jan 1996,986
Feb 1996,980
Mar 1996,988
Apr 1996,1015
May 1996,1015
Jun 1996,950
Jul 1996,993
Aug 1996,970
Sep 1996,929
Oct 1996,917
Nov 1996,904
Dec 1996,897
Jan 1997,893
Feb 1997,870
Mar 1997,908
Apr 1997,920
May 1997,953
Jun 1997,969
Jul 1997,987
Aug 1997,924
Sep 1997,964
Oct 1997,1054.04
Nov 1997,1199
Dec 1997,1220
Jan 1998,1146
Feb 1998,1079
Mar 1998,992.5
Apr 1998,940
May 1998,930
Jun 1998,989
Jul 1998,1034
Aug 1998,1087.5
Sep 1998,965
Oct 1998,955
Nov 1998,890
Dec 1998,857
Jan 1999,880
Feb 1999,857.5
Mar 1999,837.83
Apr 1999,854.5
May 1999,858.42
Jun 1999,868.18
Jul 1999,875.91
Aug 1999,820
Sep 1999,826.82
Oct 1999,854.76
Nov 1999,916.36
Dec 1999,913.33
Jan 2000,875
Feb 2000,880
Mar 2000,880
Apr 2000,866.67
May 2000,853.33
Jun 2000,837.27
Jul 2000,860
Aug 2000,864.55
Sep 2000,880
Oct 2000,871.82
Nov 2000,899.52
Dec 2000,880
Jan 2001,907.27
Feb 2001,983.33
Mar 2001,954.76
Apr 2001,950
May 2001,949
Jun 2001,930
Jul 2001,930
Aug 2001,847.5
Sep 2001,807
Oct 2001,713.91
Nov 2001,714.29
Dec 2001,710
Jan 2002,685.91
Feb 2002,651
Mar 2002,640
Apr 2002,631
May 2002,618.18
Jun 2002,700.56
Jul 2002,728.7
Aug 2002,730.95
Sep 2002,742.86
Oct 2002,778.46
Nov 2002,826.67
Dec 2002,945.88
Jan 2003,960
Feb 2003,977
Mar 2003,1022.38
Apr 2003,1050
May 2003,1050
Jun 2003,1037.62
Jul 2003,1023.18
Aug 2003,1020
Sep 2003,1014.55
Oct 2003,920
Nov 2003,931.5
Dec 2003,960
Jan 2004,992.38
Feb 2004,1000
Mar 2004,980.43
Apr 2004,970
May 2004,982
Jun 2004,1017.27
Jul 2004,1039.09
Aug 2004,1001.36
Sep 2004,1000
Oct 2004,960
Nov 2004,956.36
Dec 2004,958.82
Jan 2005,945.5
Feb 2005,912
Mar 2005,907.39
Apr 2005,900
May 2005,888.57
Jun 2005,870
Jul 2005,848.57
Aug 2005,816.36
Sep 2005,806.36
Oct 2005,862.38
Nov 2005,850
Dec 2005,883.53
Jan 2006,853.33
Feb 2006,848
Mar 2006,808.26
Apr 2006,753
May 2006,780
Jun 2006,795.91
Jul 2006,851.43
Aug 2006,880
Sep 2006,913.48
Oct 2006,937.39
Nov 2006,1044.52
Dec 2006,1037.83
Jan 2007,1050
Feb 2007,1050
Mar 2007,1050
Apr 2007,1050
May 2007,1080.56
Jun 2007,1107.18
